Tiempo, x(t), y(t)
0 , 0 , 0
1 , 0.97188 , 0.753866
2 , 1.94376 , 1.49683
3 , 2.91564 , 2.2289
4 , 3.88752 , 2.95006
5 , 4.8594 , 3.66033
6 , 5.83128 , 4.35969
7 , 6.80316 , 5.04816
8 , 7.77504 , 5.72573
9 , 8.74692 , 6.39239
10 , 9.7188 , 7.04816
11 , 10.6907 , 7.69302
12 , 11.6626 , 8.32699
13 , 12.6344 , 8.95006
14 , 13.6063 , 9.56222
15 , 14.5782 , 10.1635
16 , 15.5501 , 10.7539
17 , 16.522 , 11.3333
18 , 17.4938 , 11.9019
19 , 18.4657 , 12.4596
20 , 19.4376 , 13.0063
21 , 20.4095 , 13.5422
22 , 21.3814 , 14.0671
23 , 22.3532 , 14.5812
24 , 23.3251 , 15.0844
25 , 24.297 , 15.5766
26 , 25.2689 , 16.058
27 , 26.2408 , 16.5285
28 , 27.2126 , 16.988
29 , 28.1845 , 17.4367
30 , 29.1564 , 17.8745
31 , 30.1283 , 18.3013
32 , 31.1002 , 18.7173
33 , 32.072 , 19.1224
34 , 33.0439 , 19.5165
35 , 34.0158 , 19.8998
36 , 34.9877 , 20.2722
37 , 35.9596 , 20.6336
38 , 36.9314 , 20.9842
39 , 37.9033 , 21.3239
40 , 38.8752 , 21.6526
41 , 39.8471 , 21.9705
42 , 40.819 , 22.2775
43 , 41.7908 , 22.5735
44 , 42.7627 , 22.8587
45 , 43.7346 , 23.133
46 , 44.7065 , 23.3963
47 , 45.6784 , 23.6488
48 , 46.6502 , 23.8904
49 , 47.6221 , 24.121
50 , 48.594 , 24.3408
51 , 49.5659 , 24.5497
52 , 50.5378 , 24.7476
53 , 51.5096 , 24.9347
54 , 52.4815 , 25.1109
55 , 53.4534 , 25.2761
56 , 54.4253 , 25.4305
57 , 55.3972 , 25.574
58 , 56.369 , 25.7065
59 , 57.3409 , 25.8282
60 , 58.3128 , 25.9389
61 , 59.2847 , 26.0388
62 , 60.2566 , 26.1278
63 , 61.2284 , 26.2058
64 , 62.2003 , 26.273
65 , 63.1722 , 26.3293
66 , 64.1441 , 26.3746
67 , 65.116 , 26.4091
68 , 66.0878 , 26.4327
69 , 67.0597 , 26.4453
70 , 68.0316 , 26.4471
71 , 69.0035 , 26.438
72 , 69.9754 , 26.4179
73 , 70.9472 , 26.387
74 , 71.9191 , 26.3452
75 , 72.891 , 26.2924
76 , 73.8629 , 26.2288
77 , 74.8348 , 26.1543
78 , 75.8066 , 26.0688
79 , 76.7785 , 25.9725
80 , 77.7504 , 25.8653
81 , 78.7223 , 25.7471
82 , 79.6942 , 25.6181
83 , 80.666 , 25.4782
84 , 81.6379 , 25.3273
85 , 82.6098 , 25.1656
86 , 83.5817 , 24.993
87 , 84.5536 , 24.8094
88 , 85.5254 , 24.615
89 , 86.4973 , 24.4097
90 , 87.4692 , 24.1934
91 , 88.4411 , 23.9663
92 , 89.413 , 23.7283
93 , 90.3848 , 23.4793
94 , 91.3567 , 23.2195
95 , 92.3286 , 22.9488
96 , 93.3005 , 22.6671
97 , 94.2724 , 22.3746
98 , 95.2442 , 22.0712
99 , 96.2161 , 21.7568
100 , 97.188 , 21.4316
101 , 98.1599 , 21.0954
102 , 99.1318 , 20.7484
103 , 100.104 , 20.3905
104 , 101.076 , 20.0216
105 , 102.047 , 19.6419
106 , 103.019 , 19.2513
107 , 103.991 , 18.8497
108 , 104.963 , 18.4373
109 , 105.935 , 18.014
110 , 106.907 , 17.5797
111 , 107.879 , 17.1346
112 , 108.851 , 16.6786
113 , 109.822 , 16.2116
114 , 110.794 , 15.7338
115 , 111.766 , 15.2451
116 , 112.738 , 14.7454
117 , 113.71 , 14.2349
118 , 114.682 , 13.7135
119 , 115.654 , 13.1811
120 , 116.626 , 12.6379
121 , 117.597 , 12.0838
122 , 118.569 , 11.5187
123 , 119.541 , 10.9428
124 , 120.513 , 10.356
125 , 121.485 , 9.75823
126 , 122.457 , 9.14959
127 , 123.429 , 8.53006
128 , 124.401 , 7.89962
129 , 125.373 , 7.25829
130 , 126.344 , 6.60606
131 , 127.316 , 5.94292
132 , 128.288 , 5.26889
133 , 129.26 , 4.58395
134 , 130.232 , 3.88812
135 , 131.204 , 3.18139
136 , 132.176 , 2.46375
137 , 133.148 , 1.73522
138 , 134.119 , 0.995783
139 , 135.091 , 0.245449
